A á pa apa.;He hides the bag.
ŋgím é ke māk etsō á ŋ́kāˈ.;The criquest have finished the provisions of the field.
ŋgaŋ ālúŋ é kaŋ ŋgɔ́ŋ ána wyɔ̄.;The yam root occupied the whole furrow there.
Ndem á si ŋgɔ ndaˈ n̄tsa mezeŋɛ.;God is the only comforter.
Nnū é ntsók á ŋiŋ á lépfō pek.;The snake bit a person in our neighborhood.
Apa;Bag
Apā;Taro
Apá;Door leaf
Api;Decay
Apī;The totem
Atswɛt;The fields
Atswɛ́t;Lumps
Afu';Luck
Afū';A valley
Afho;The cure
afhō;The Bafou group
Aka;Secret meeting
Aká;Sander leaf tree
Atu';Growth retardation
Atú';A bump on the back
Atū';The box
Mbap;Meat
Ḿbáp;Soften over fire
Mbūŋ;The poor
Ḿbúŋ;To be poor
Mbɛt;The pancreas
Ḿbɛ́t;Treat an illness
Ḿbɛ̄t;Carry on the back
Ḿbɔ́k;Be afraid
Ḿbɔ̄k ;Anoint with exaggeration
Mbhʉ̄;The dog
Ḿbhʉ́;Announce
Mbhi;Stick used for seed
Ḿbhī;Sow
Ḿbhí;Reduce the heat of the water
Mbeŋ;The rain
Mbēŋ;The nostril hole
Ḿbēŋ;Lick
Mbǝ;Trunk
Ḿbǝ̄;Mount
Mbǝ̄;Breasts
Mbi;Livers
Ḿbī;Cut to pointy tip
Ḿbí;To get lost
Mbí;The main ingredient of a remedy
Mbīŋ;The forest
Ḿbīŋ ;To come back
Mbaŋ;The core
Ḿbāŋ;Mature
̄Mbo;Eggs
Ḿbō;Meet/be complete
Mbɛ;Kind of zonal disease
Mbɛ̄;Chafer larvae
Ḿbɛ́;Pick up or take
Ndaŋ;The imperative/firmness
Ndāŋ;the cylindrical box
Ńdáŋ;Go positive
Ndeŋ;Bamboo
Ńdēŋ;Vine
Ńdéŋ;Going without a destination
Ndu;The backwater
Ńdū;Get excited/puff up
Ndʉɔ;The woman's sex
Ndʉɔ̄;Kind of bat/the singular is andʉ̄ɔ
Ńdʉɔ́;Hitting and being injured by a piece of tree
Ndo;The top
Ndō;The husband
Ńdó;Crunch
Ńdó;Heat
Ndɔ;The curse
Ndɔ̄;The begging
Ńdɔ́;Ask
Ndɛ;The bells
Ńdɛ̄;Pass / do slowly
Ńdɛ̄';Answer for your actions
Ńdɛ́';Not
Ndɔ̄ŋ;The box
Ndɔ́ŋ;Lazy
Ńdɔ́ŋ;To be slimy
Ndʉ';The statuette-shaped drum
Ńdʉ̄';Refuse
Ndǝ;The vampire
Ńdǝ̄;To be sweet
Ńdǝ́;Reason
Ńda;Patience
Ńdā;Cry
Ńdá;Cook
Nta;The tree branch
Ntā;Thigh
Ńtá;Guess
Ńtā;Call/stay definitely
Ntaŋ;Galley
Ńtāŋ;Resist
Ńtáŋ;Haggle/negotiate the price
Ńtɔ́;Defend with a tutor
Ntɔ̄;One of the three hearth stones
Ńtɔ̄;Burn
Ntɔɔ;The burner
Ntɔŋ;The bud/Umbilical cord
Ntɔ̄ŋ;The neck
Ńtɔ́ŋ;Read / call again
Ntā';wallet
Ńtā';Dig
Ńtá';Pass someone on the road
Ntǝ̄;The heart
Ńtǝ̄;Have the strength / still hard
Ntɛ̄;Piece of stick for whipping
Ńtɛ̄;Treat/heal someone
Ntɛ́ɛ́;Invisible barrier against sorcerers
Ńtɔ́k;Skip to a location
Ncuŋ;Purge someone
Ńcúŋ;Tie in a knot
Ncu;The war
Ncū;Market entrance
Ńcú;Go down a hill
Ncɔ';Fear
Ńcɔ̄';Dip in sauce/Be afraid
Ńcɔ̄k;Go bad
Ńcɔ́k;Scold
Ncɔ̄k;The rumblings
Ntsɔ';The hair
Ńtsɔ́' ;Open
Ńtsók;Poke
Ńtsōk;Spit
Ntswhi;The namesake
Ńtswhí;To grow
Ńtswhī;Give a name
Ntshi;Water
Ńtshí;To halt
Ntshí;Size/distance
Ntshɛ;Step-father
Ntshɛ́;The orphanage
Ńtshɛ̄;Transplanting seeds
Ntsɔ́ŋ;The bandit
Ńtsɔ́ŋ;Making love to a woman
Ntswīŋ;Wood
Ńtswīŋ;Curse/To the holding of dance
Ntsap;A round
Ńtsáp;Unable to procreate
Ńtsāp;Doubt
Ntsem;Confidentiality
Ńtsēm;Mix
Ntsɔp;The dozen
Ńtsɔ̄p;Fetishize a corpse
Ńtēm;Hitting with the hammer
Ńtém;Hitting with an angina
Nzɔŋ;The terrorist
Nzɔ̄ŋ;The pen or the pointed piece of tree
Ńzɔ́ŋ;Miss a target
Ńzɔ̄ŋ;Discuss a portion
Nzáŋ;The balafon
Ńzāŋ;Reduce the leaves on an ear of corn
Nzeŋ;The penis/the nuclei of the penis
Nzēŋ;The names
Ńzēŋ;Turn to make solid
Ńzéŋ;To dance
Ŋwɛ́t;The director/owner or number 1 of…
Ŋ́ŋāk;
Saasī;Earth splitting insect
Sásī;A gravedigger
Sésá;Scissors
Sésā;Cutting insect
Ésā';Snatch
Ésá';Germinate
Lekwɛt;Fight
Lekwɛ̄t;Mountain
Lelūŋ;Mourn
Lelúŋ;Radio
Lepé;Law
Lepe ;Mount
Lepē;Breast
Lepfū' ;Cut up
Lepfu';Mortar
Lesɔŋ ;Tooth
Lesɔ̄ŋ ;Gutter
Leta ;Stall
Letā ;Guess
Letá ;Trap
Letɔ̄ŋ  ;To read
Letɔŋ ;Navel
Letɔ́ŋ ;Feather
Lewhʉ̄ ;Grief
Lewhʉ ;To fall
Ḿbāʼ ;To fall over
Mbāʼ ;Bush
Ḿbáʼ ;Weave
Mefɔ̄ ;Fat
Mefɔ ;Chiefs
Meláŋ ;Shoes
Melaŋ ;special paste for some traditional rites
Menū;Snakes
Menu ;Business
Mvɛt ;Haillon
Ḿvɛ́t ;Burst
Ḿvɛ̄t ;Tremble
Ńchʉ̄ ;Iron
Nchʉ́ ;Dirt
Ńcʉ́ʼ ;Metamorphose
Ńcʉ̄ʼ ;To sieve
Ndap ;Thread
Ńdáp ;Be bland
Ńtí ;Write
Ńtī ;carve
Ntí ;Quality
Ńzáʼ ;Cut
Ńzāʼ ;
Ŋkāp ;Money
Ŋ́káp ;Pick
Ŋ́kʉ̄p ;Dig
Seŋ ;Bird
Séŋ ;Bludgeon
mba;Housing estate
mbā;Sheath
mbɔ;with/and
mbɔ;Ball
mbɔ̄;soul/Creator/all (destiny)
lecɔp; Poison/make a fetish of prohibition/defame
lecɔ̄p ;Go straight
lecu';barking/bark
lecū';Chop/Break/Split
lecuŋ;To purge
lecūŋ;To tie a knot/heron knot
ndo; Over/seed yam/Middle of the head
ndō;Husband
lefa;Be mistaken/Be wrong
lefā;Spray/watch
lefá;Eight
lefak; separate with a snap/break
lefāk;Twin
lefaŋ;Thunder
lefāŋ;Expand/arge (wide)/extended (wide)/stoop
afē;Pressure
afe;Constipation
afé;Shin
lefem;To mold/To be dirty
lefém ;Wood (forest) sacredness of chieftainship
lefēm;Choking
afeŋ;Termite mound
aféŋ;Injury
lefɛt;Care for a woman who just gave birth
lefɛ̄t;Sealing it
lefho;To sprinkle
lefhō;To come from/To delve deeply
lefɔ;Dynasty
lefɔ̄;Be bold
afu';Find
afū';Valley
legap;Distribute (leave)
ŋgap;Week
ŋgāp ;Chicken
legapté;Axilla
legapte;Dispatche (leave)
ŋghi;Voice/Sound
nghī;Smoke
ŋgwen;Ledge surface
̀ŋgwéŋ;container/utensil serving as a mortar or pot
ŋgwɛ́t ;Knife handle/matchet handle
ŋgwɛ̄t;Type of yam(name)
leká;Whistle
leka;Swear
lekā;Be tired/Depression (fatigue)/Chew
lekak;uttering threats/consider enthusiastically (project)
lekāk;Celebrate/Joie
ŋkak;Hairstyle
ŋkák;
ŋka';Bamboo torch
ŋkā';Field/plantating
lekaŋ;Adopt/choose/clay/magic
lekāŋ;Quinqueliba/make proud
akem;Fragment
akém;Negotiation/arrangement/reconciliation
lekhʉ̄;Ignite
lekhʉ;Hunting net/Trap.
lekiá;Geographical area
lekiā;Claim
ŋkiŋ;Loft
ŋkíŋ;Sterile person
leko;Accused (without proof)
lekō;Enter/arrive
lekok;To shell/To trigger
lekōk;To be spoiled
lekɔ;take somebody (especially employment is in the imperative)
lekɔ̄;Peel/smash/sculpt
akɔ́';Dysentery
akɔ';kind of traditional wooden stool with three legs
akɔ̄';Ladder
akup;Skin/bark/splinters
akūp;china bamboo planted in the courtyard on the eve of funeral
lekʉp;Dig forcefully
lekʉ̄p;To shell/To peel
lekwɛ;Lethal/Nail
lekwɛ̄;Shoulder
lekwɛt;Fighting
lekwɛ̄t;Hill/mountain
lekwɛ̄t;Attach/build
lekyɛt;Special necklace for mother of twins/Hatch
lekyɛ̄t;Skip/filter/invade
ŋkyɛ̄t;A type of plant (tricalysia)
ŋkyɛt;A sort of front mat
lela;To cry
lelā;Cooking
lelém;Huge drum found at the chief's residence
lelem;Giving off a bad smell
lelo;To make hot/to be hot
lelō;Bite/be full/be sharp
lélo;Variety of spice
lelɔk ;To take/To  confiscate/to have sexual intercourse, for a man
lelɔ̄k;Sleep
alɔ';Physically disabled
alɔ̄';Fault/Nervousness/Anger
lelu;Swelling/Being excited
lelū;To rain
lelu' ;palm
lelū';Spoon /Stir /crease
alúŋ;Association
alūŋ;Yam variety
lelúŋ;Musical instrument
lelūŋ;Mourn
lemak;To finish
lemāk;Embroidery/marking
lepap;Wing
lepāp;To heat
lepé;Law
lepe;Climbing
lepē;Udder/Breast
apiŋ;Answer
apíŋ;Straw/ Thatch
atá;Nuts
atā;Precipice/Trap/Pit
atwɛ́t;Variety of edible fungus
atwɛt;Cleanliness
ńtsi ;To cut out
ńtsi ;Be verbose
ńtswɛt;Be clumsy
ńtswɛ́t;anoint/To embalm/To have your life saved
mvhō;Goat
ḿvhó;Be cooked to perfection
ńzá;Abound
nza;Axe
ńza';To winnow
ńzá';To cut
nzém;Nigh/Darkness
nzem;Behind
lezen;Hernia
lezēn;To dance
nzeŋ;Testicles
nzéŋ;Bank
nzɔ̄ŋ;Ballpoint pen
nzɔŋ;Ambush

